Model	Hersteller	Verbrauch	Zylinder	Hubraum	PS	Gewicht	Beschleunigung	Baujahr	Herkunft

chevelle malibu	chevrolet	13.07	8	5030.8	130	1589.4	12	70	American
skylark 320	buick	15.68	8	5735.5	165	1675.1	11.5	70	American
satellite	plymouth	13.07	8	5211.1	150	1558.6	11	70	American
rebel sst	amc	14.7	8	4981.6	150	1557.2	12	70	American
torino	ford	13.84	8	4948.9	140	1564.5	10.5	70	American
galaxie 500	ford	15.68	8	7030	198	1969.1	10	70	American
impala	chevrolet	16.8	8	7439.7	220	1975	9	70	American
fury iii	plymouth	16.8	8	7210.3	215	1955.9	8.5	70	American
catalina	pontiac	16.8	8	7456.1	225	2007.2	10	70	American
ambassador dpl	amc	15.68	8	6390.9	190	1746.4	8.5	70	American
ds-21 pallas	citroen	NA	4	2179.5	115	1401.6	17.5	70	European
chevelle concours (sw)	chevrolet	NA	8	5735.5	165	1878.8	11.5	70	American
torino (sw)	ford	NA	8	5751.8	153	1829.8	11	70	American
satellite (sw)	plymouth	NA	8	6276.2	175	1889.7	10.5	70	American
rebel sst (sw)	amc	NA	8	5899.3	175	1746.4	11	70	American
challenger se	dodge	15.68	8	6276.2	170	1616.2	10	70	American
'cuda 340	plymouth	16.8	8	5571.6	160	1637	8	70	American
mustang boss 302	ford	NA	8	4948.9	140	1520.9	8	70	American
monte carlo	chevrolet	15.68	8	6554.8	150	1706	9.5	70	American
estate wagon (sw)	buick	16.8	8	7456.1	225	1399.8	10	70	American
corona mark ii	toyota	9.8	4	1851.7	95	1075.9	15	70	Japanese
duster	plymouth	10.69	6	3244.6	95	1285	15.5	70	American
hornet	amc	13.07	6	3261	97	1258.3	15.5	70	American
maverick	ford	11.2	6	3277.4	85	1173.5	16	70	American
pl510	datsun	8.71	4	1589.5	88	966.2	14.5	70	Japanese
1131 deluxe sedan	vw	9.05	4	1589.5	46	832.4	20.5	70	European
504	peugeot	9.41	4	1802.6	87	1212	17.5	70	European
100 ls	audi	9.8	4	1753.4	90	1102.2	14.5	70	European
99e	saab	9.41	4	1704.2	95	1077.3	17.5	70	European
2002	bmw	9.05	4	1982.8	113	1013.3	12.5	70	European
gremlin	amc	11.2	6	3261	90	1201.1	15	70	American
f250	ford	23.52	8	5899.3	215	2093.4	14	70	American
c20	chevrolet	23.52	8	5030.8	200	1985	15	70	American
d200	dodge	21.39	8	5211.1	210	1987.7	13.5	70	American
1200d	hi	26.14	8	4981.6	193	2146.4	18.5	70	American
pl510	datsun	8.71	4	1589.5	88	966.2	14.5	71	Japanese
vega 2300	chevrolet	8.4	4	2294.2	90	1027	15.5	71	American
corona	toyota	9.41	4	1851.7	95	1010.6	14	71	Japanese
pinto	ford	9.41	4	1605.9	NA	928.1	19	71	American
super beetle 117	vw	NA	4	1589.5	48	897.2	20	71	European
gremlin	amc	12.38	6	3801.8	100	1194.8	13	71	American
satellite custom	plymouth	14.7	6	3687.1	105	1559.9	15.5	71	American
chevelle malibu	chevrolet	13.84	6	4096.8	100	1510	15.5	71	American
torino 500	ford	12.38	6	4096.8	88	1497.8	15.5	71	American
matador	amc	13.07	6	3801.8	100	1491.4	15.5	71	American
impala	chevrolet	16.8	8	5735.5	165	1909.2	12	71	American
catalina brougham	pontiac	16.8	8	6554.8	175	2024.9	11.5	71	American
galaxie 500	ford	16.8	8	5751.8	153	1884.3	13.5	71	American
fury iii	plymouth	16.8	8	5211.1	150	1857.9	13	71	American
monaco (sw)	dodge	19.6	8	6276.2	180	2247.6	11.5	71	American
country squire (sw)	ford	18.1	8	6554.8	170	2152.8	12	71	American
safari (sw)	pontiac	18.1	8	6554.8	175	2331.5	12	71	American
hornet sportabout (sw)	amc	13.07	6	4227.8	110	1343.6	13.5	71	American
vega (sw)	chevrolet	10.69	4	2294.2	72	1092.3	19	71	American
firebird	pontiac	12.38	6	4096.8	100	1488.7	15	71	American
mustang	ford	13.07	6	4096.8	88	1423.9	14.5	71	American
capri 2000	mercury	10.23	4	1999.2	86	1007	14	71	American
opel 1900	buick	8.4	4	1900.9	90	963	14	71	European
304	peugeot	7.84	4	1294.6	70	940.8	19.5	71	European
124b	fiat	7.84	4	1442.1	76	936.7	14.5	71	European
corolla 1200	toyota	7.59	4	1163.5	65	804.2	19	71	Japanese
1200	datsun	6.72	4	1179.9	69	731.7	18	71	Japanese
model 111	vw	8.71	4	1589.5	60	831.9	19	71	European
cricket	plymouth	9.05	4	1491.2	70	886.8	20.5	71	American
corona hardtop	toyota	9.8	4	1851.7	95	1033.3	15.5	72	Japanese
colt hardtop	dodge	9.41	4	1597.7	80	964.4	17	72	American
type 3	vw	10.23	4	1589.5	54	1022.4	23.5	72	European
vega	chevrolet	11.76	4	2294.2	90	1092.3	19.5	72	American
pinto runabout	ford	11.2	4	1999.2	86	1009.7	16.5	72	American
impala	chevrolet	18.1	8	5735.5	165	1938.7	12	72	American
catalina	pontiac	16.8	8	6554.8	175	1989	12	72	American
fury iii	plymouth	15.68	8	5211.1	150	1875.6	13.5	72	American
galaxie 500	ford	16.8	8	5751.8	153	1872.9	13	72	American
ambassador sst	amc	13.84	8	4981.6	150	1665.6	11.5	72	American
marquis	mercury	21.39	8	7030	208	2101.5	11	72	American
lesabre custom	buick	18.1	8	5735.5	155	2042.1	13.5	72	American
delta 88 royale	oldsmobile	19.6	8	5735.5	160	2021.2	13.5	72	American
newport royal	chrysler	18.1	8	6554.8	190	2005.8	12.5	72	American
rx2 coupe	mazda	12.38	3	1147.1	97	1056.9	13.5	72	Japanese
matador (sw)	amc	15.68	8	4981.6	150	1765.4	12.5	72	American
chevelle concours (sw)	chevrolet	18.1	8	5030.8	130	1858.9	14	72	American
gran torino (sw)	ford	18.1	8	4948.9	140	1947.8	16	72	American
